time/fps,time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/value_loss,train/std,train/clip_range,train/learning_rate,train/n_updates,train/approx_kl,train/explained_variance,train/loss,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss
25,1361,34816,17,2000.0,-884.3507325882355,0.46272309133782985,0.5156900882720947,0.2,0.0003,160,0.010959733,0.019283652305603027,0.08736854791641235,-1.3008715379983187,0.063232421875,-0.014587704912992194
25,1442,36864,18,2000.0,-844.2092357777778,0.3452583634294569,0.4975495934486389,0.2,0.0003,170,0.0090403855,0.13916617631912231,0.023002035915851593,-1.204662461206317,0.082861328125,-0.014414375311753247
25,1526,38912,19,2000.0,-807.124432263158,0.25667403793195265,0.4838346838951111,0.2,0.0003,180,0.011946902,0.17687350511550903,0.018953124061226845,-1.1117240961641073,0.082080078125,-0.01474509600084275
25,1609,40960,20,2000.0,-773.0003838000001,0.2204625379294157,0.47581058740615845,0.2,0.0003,190,0.012558855,0.2136722207069397,0.013001050800085068,-1.038133877515793,0.07919921875,-0.01194546478363918
25,1691,43008,21,2000.0,-741.5036964285716,0.13979267794638872,0.45172393321990967,0.2,0.0003,200,0.012963275,0.19506901502609253,0.001783238723874092,-0.9402693808078766,0.070947265625,-0.013228949329641183
25,1775,45056,22,2000.0,-712.1042825909093,0.11580545690958388,0.43324825167655945,0.2,0.0003,210,0.009977967,-0.022910475730895996,0.004374761134386063,-0.8263759691268205,0.066162109375,-0.012729652636335232
25,1858,47104,23,2000.0,-684.9898236086958,0.10395248682470992,0.4121027886867523,0.2,0.0003,220,0.01177034,0.09294366836547852,-0.011942028999328613,-0.7154307790100575,0.067529296875,-0.01371408093982609
25,1941,49152,24,2000.0,-659.5598611666667,0.07330623758898583,0.39596500992774963,0.2,0.0003,230,0.013135972,0.11905086040496826,-0.03258166089653969,-0.6044442608952523,0.088037109375,-0.01612195436755428
25,2022,51200,25,2000.0,-635.83006992,0.054076179972616954,0.38047295808792114,0.2,0.0003,240,0.0110055795,-0.030372142791748047,-0.025108423084020615,-0.5003840364515781,0.072802734375,-0.014138883887790143
25,2107,53248,26,2000.0,-613.6347175384616,0.04451026291644666,0.36329489946365356,0.2,0.0003,250,0.010936672,0.024004817008972168,0.004872123245149851,-0.3961055510677397,0.0806640625,-0.015457559100468643
25,2191,55296,27,2000.0,-592.7891241851852,0.03429740766587201,0.3506363034248352,0.2,0.0003,260,0.011975975,-0.04639792442321777,0.015627823770046234,-0.2944536780938506,0.08232421875,-0.013575362248229795
25,2274,57344,28,2000.0,-573.3061823571428,0.023916377240675503,0.340745210647583,0.2,0.0003,270,0.011136174,0.0295906662940979,-0.016251346096396446,-0.19962559044361114,0.08515625,-0.01272872789268149
25,2359,59392,29,2000.0,-554.9315424482759,0.01905724199677934,0.32539552450180054,0.2,0.0003,280,0.011893011,0.08787626028060913,-0.017323056235909462,-0.10521210096776486,0.07724609375,-0.012357030225393828
25,2440,61440,30,2000.0,-537.6501963666666,0.015441382169228746,0.31562668085098267,0.2,0.0003,290,0.009846123,-0.08144283294677734,-0.02549951709806919,-0.004260833747684956,0.07548828125,-0.012360669793270062
25,2521,63488,31,2000.0,-521.3581292258065,0.012629469462990529,0.30250734090805054,0.2,0.0003,300,0.010445508,0.10071730613708496,-0.011907672509551048,0.09115265738219022,0.096240234375,-0.013179223346378421
25,2605,65536,32,2000.0,-505.97972909374994,0.00845471987813653,0.2874704897403717,0.2,0.0003,310,0.013412499,0.15939027070999146,-0.013062359765172005,0.206041057780385,0.097119140625,-0.016926602109742818
25,2688,67584,33,2000.0,-491.43540709090905,0.005909857206097513,0.27427375316619873,0.2,0.0003,320,0.012484909,0.20731282234191895,-0.019754543900489807,0.3230712209828198,0.06767578125,-0.012567865129676647
25,2770,69632,34,2000.0,-477.6550510588235,0.005494037194876,0.26265057921409607,0.2,0.0003,330,0.008645246,0.17665594816207886,-0.017152974382042885,0.4258150580339134,0.071923828125,-0.008985094939998817
25,2852,71680,35,2000.0,-464.6337636285714,0.0041268321276220375,0.2527990937232971,0.2,0.0003,340,0.010657076,0.052604079246520996,-0.029009809717535973,0.5175008957274259,0.098583984375,-0.013731094120885246
25,2934,73728,36,2000.0,-452.33665727777776,0.008539076286979252,0.2478015273809433,0.2,0.0003,350,0.008433616,-0.12906885147094727,-0.021984636783599854,0.5904037551954389,0.08251953125,-0.0034457085932444896
25,3018,75776,37,2000.0,-440.59933208108106,0.0023188286460936068,0.23618680238723755,0.2,0.0003,360,0.011087114,-0.20929086208343506,-0.003454837715253234,0.6720455167815089,0.088525390625,-0.010916302444093163
25,3101,77824,38,2000.0,-429.46476734210523,0.0027949722947596457,0.22914618253707886,0.2,0.0003,370,0.009579228,0.02729177474975586,-0.02801322564482689,0.7673257149755954,0.082861328125,-0.011412766521971207
25,3184,79872,39,2000.0,-418.8354818974359,0.001561259323716513,0.21893538534641266,0.2,0.0003,380,0.011254548,0.020100116729736328,0.0037179284263402224,0.8635265592485666,0.08251953125,-0.013837534704362043
25,3268,81920,40,2000.0,-408.72661755,0.0021007941009884234,0.2115110456943512,0.2,0.0003,390,0.011901116,0.41056954860687256,-0.009297645650804043,0.9537113059312106,0.08134765625,-0.010137424804270267
25,3352,83968,41,2000.0,-399.0466354390244,0.001456947140286502,0.2005104422569275,0.2,0.0003,400,0.01249229,0.08945107460021973,-0.010671583004295826,1.0483611680567264,0.0998046875,-0.013370784897415434
25,3437,86016,42,2000.0,-381.0042204651163,0.0009462790266297816,0.1946469098329544,0.2,0.0003,410,0.012840583,0.004144191741943359,-0.013387965969741344,1.1430666450411082,0.120703125,-0.012035601881507318
25,3521,88064,43,2000.0,-372.58052445454547,0.001469041981818009,0.18675926327705383,0.2,0.0003,420,0.01564448,0.2174040675163269,-0.015756726264953613,1.2265742871910335,0.116748046875,-0.012294396552897524
24,3604,90112,44,2000.0,-364.4971186,0.000634666015912444,0.18055444955825806,0.2,0.0003,430,0.012710326,0.5352638065814972,-0.021853554993867874,1.3118884164839983,0.10546875,-0.009017902416235301
24,3688,92160,45,2000.0,-356.7475795217391,0.0005124212661030469,0.17242459952831268,0.2,0.0003,440,0.009366432,0.5711826682090759,-0.02524939551949501,1.3999866247177124,0.084228515625,-0.010905667113547679
24,3772,94208,46,2000.0,-349.3118285744681,0.0003987046347447176,0.1639544516801834,0.2,0.0003,450,0.009789499,0.5184295177459717,-0.040230534970760345,1.505138310790062,0.07255859375,-0.011909337442193645
24,3856,96256,47,2000.0,-342.17874556249996,0.00033210369010703287,0.1553342193365097,0.2,0.0003,460,0.010816937,0.6737294495105743,-0.02085520699620247,1.618889194354415,0.07841796875,-0.010248156081070192
24,3940,98304,48,2000.0,-335.33250718367344,0.0007186475135767978,0.1493629515171051,0.2,0.0003,470,0.013564814,0.7266432642936707,0.015788424760103226,1.7140707198530436,0.0951171875,-0.006824804577627219
24,4023,100352,49,2000.0,-328.73505121999995,0.0002970817257846647,0.14129965007305145,0.2,0.0003,480,0.013601925,0.5476174056529999,0.004394069779664278,1.81887970790267,0.097021484375,-0.013992938546289224
24,4107,102400,50,2000.0,-322.3874861372549,0.00025037390935267467,0.13548611104488373,0.2,0.0003,490,0.0069011096,0.7821981012821198,0.0032014402095228434,1.9178182810544968,0.07744140625,-0.006472720105375629
24,4190,104448,51,2000.0,-316.28334198076914,0.0001951501984535753,0.12932291626930237,0.2,0.0003,500,0.009552268,0.7878893613815308,-0.03469812497496605,2.0132648799568416,0.070947265625,-0.009027923853864195
24,4273,106496,52,2000.0,-310.4040869622641,0.0004083492799736632,0.12665434181690216,0.2,0.0003,510,0.012091329,0.5524100959300995,-0.017198048532009125,2.088166043907404,0.12275390625,-0.006512317409215029
24,4354,108544,53,2000.0,-304.74649081481476,0.0010316122759832069,0.12387258559465408,0.2,0.0003,520,0.008680119,0.6054365336894989,-0.013174004852771759,2.1426810286939144,0.110791015625,-0.005328284612187417
24,4435,110592,54,2000.0,-299.29792799999996,0.0015542564540169223,0.12034498155117035,0.2,0.0003,530,0.009706272,0.741173267364502,0.002623896114528179,2.2101009197533132,0.092578125,-0.0018290861640707589
24,4518,112640,55,2000.0,-294.0143874107143,0.0002968161491025967,0.11835013329982758,0.2,0.0003,540,0.0065802676,0.6141231060028076,-0.013104567304253578,2.2681034967303275,0.061767578125,-0.0010971555377182086
24,4601,114688,56,2000.0,-288.91665566666666,0.0001465929729306481,0.11539388447999954,0.2,0.0003,550,0.009949062,0.6768078804016113,0.009716581553220749,2.3279578939080237,0.101806640625,-0.0058439169777557256
24,4684,116736,57,2000.0,-283.99871536206894,0.00032409995893658563,0.1105770617723465,0.2,0.0003,560,0.009793565,0.8340687453746796,0.0033747055567801,2.4014310009777544,0.1087890625,-0.006308699432702269
24,4766,118784,58,2000.0,-279.24032608474573,0.00015890034849235234,0.10732506960630417,0.2,0.0003,570,0.0066324105,0.8615962564945221,-0.003997846972197294,2.4733980618417264,0.102880859375,-0.0042122131766518574
24,4847,120832,59,2000.0,-274.62783064999996,0.00010814793265581101,0.10330480337142944,0.2,0.0003,580,0.011504001,0.7056655585765839,0.016062885522842407,2.546608141064644,0.089306640625,-0.0061504007928306235
24,4931,122880,60,2000.0,-270.18657895081964,0.0011660127922368702,0.09986993670463562,0.2,0.0003,590,0.012716183,0.7889556884765625,0.0594932846724987,2.6221566341817377,0.123486328125,-0.003951532769133337
24,5012,124928,61,2000.0,-265.86648303225803,0.00018336070698410367,0.09603958576917648,0.2,0.0003,600,0.011663091,0.6139608323574066,-0.04427965357899666,2.7019239500164987,0.13818359375,-0.007435468625772046
24,5095,126976,62,2000.0,-261.6929335238095,0.0011235687910584602,0.0928751602768898,0.2,0.0003,610,0.011535715,0.6096180081367493,-0.01721009984612465,2.7670186653733255,0.1111328125,0.0002507417579181492
24,5177,129024,63,2000.0,-257.63339164062495,9.424334090226693e-05,0.09036420285701752,0.2,0.0003,620,0.006056983,0.6156444549560547,-0.009043111465871334,2.8353881858289243,0.062109375,-0.0030592279545089696
